index;text;aspect;sentiment
697;This Sandisk Reader freezes my computer everytime I plug in a memory card to download. I thought it might be my computer so I reloaded the drivers and tried again. Same problem ! I thought it might be my ME operating system so I tried it on an XP computer. Same problem ! I called Sandisk and they said they would send me a FEDEX box to return it in. That was 8 days ago and still no return box. They also said it would take 7 -10 after they got it back. It looks like I'm looking at being without a memory card reader for at;stand;Sentiment.negative
698;"UPDATE:  I have found out (the hardway), that this model does not read newer Sony Memory sticks.  This is probably true of many readers, as Sony has updated the Memory stick and nowo has the ""PRO"" models.  So just beaware that older models may not read or write newer versions of the same form-factor flash devices.  Something to think about when you consider buying used or on auction.

Orignal Review: I have had ZERO problems out of this reader over nearly a year.  Truly a plug-n-play device, it requires no drivers and n";restrictions;Sentiment.negative
698;"UPDATE:  I have found out (the hardway), that this model does not read newer Sony Memory sticks.  This is probably true of many readers, as Sony has updated the Memory stick and nowo has the ""PRO"" models.  So just beaware that older models may not read or write newer versions of the same form-factor flash devices.  Something to think about when you consider buying used or on auction.

Orignal Review: I have had ZERO problems out of this reader over nearly a year.  Truly a plug-n-play device, it requires no drivers and n";dream;Sentiment.negative
698;"UPDATE:  I have found out (the hardway), that this model does not read newer Sony Memory sticks.  This is probably true of many readers, as Sony has updated the Memory stick and nowo has the ""PRO"" models.  So just beaware that older models may not read or write newer versions of the same form-factor flash devices.  Something to think about when you consider buying used or on auction.

Orignal Review: I have had ZERO problems out of this reader over nearly a year.  Truly a plug-n-play device, it requires no drivers and n";sandisk;Sentiment.negative
698;"UPDATE:  I have found out (the hardway), that this model does not read newer Sony Memory sticks.  This is probably true of many readers, as Sony has updated the Memory stick and nowo has the ""PRO"" models.  So just beaware that older models may not read or write newer versions of the same form-factor flash devices.  Something to think about when you consider buying used or on auction.

Orignal Review: I have had ZERO problems out of this reader over nearly a year.  Truly a plug-n-play device, it requires no drivers and n";cable;Sentiment.negative
698;"UPDATE:  I have found out (the hardway), that this model does not read newer Sony Memory sticks.  This is probably true of many readers, as Sony has updated the Memory stick and nowo has the ""PRO"" models.  So just beaware that older models may not read or write newer versions of the same form-factor flash devices.  Something to think about when you consider buying used or on auction.

Orignal Review: I have had ZERO problems out of this reader over nearly a year.  Truly a plug-n-play device, it requires no drivers and n";transfers;Sentiment.negative
698;"UPDATE:  I have found out (the hardway), that this model does not read newer Sony Memory sticks.  This is probably true of many readers, as Sony has updated the Memory stick and nowo has the ""PRO"" models.  So just beaware that older models may not read or write newer versions of the same form-factor flash devices.  Something to think about when you consider buying used or on auction.

Orignal Review: I have had ZERO problems out of this reader over nearly a year.  Truly a plug-n-play device, it requires no drivers and n";reader;Sentiment.negative
699;"Having run the gauntlet for two years, looking for a multi-format card reader that actually works with a wide range of Operating Systems, I happened upon the SanDisk 8-in-1 USB 2.0 Memory Card Reader (SDDR-88).  After all of the poor engineering, meaningless advertisements and unfulfilled warranties offered by the competition; I give this manufacturer and product two thumbs-up, five stars, and a genuine, ""WOW!""
Linux, OS-X, win-whatever and even DOS (certain restrictions apply, YMMV) can utilize this card reader without";reader;Sentiment.neutral
700;"This works really well.  It is small, but easy to use.  Having a base with a detachable reader really solves the portable vs. usable for a desktop design tradeoff.  The base holds it up and makes inserting cards easy, while the reader itself comes off for travel or to use with a laptop.  No power cords, either, as it is powered from the USB port.
Under Windows XP, it requires no drivers, which was an unexpected, but very nice feature.  My old reader required driver installations, which is a hassle when using it on multi";price;Sentiment.negative
700;"This works really well.  It is small, but easy to use.  Having a base with a detachable reader really solves the portable vs. usable for a desktop design tradeoff.  The base holds it up and makes inserting cards easy, while the reader itself comes off for travel or to use with a laptop.  No power cords, either, as it is powered from the USB port.
Under Windows XP, it requires no drivers, which was an unexpected, but very nice feature.  My old reader required driver installations, which is a hassle when using it on multi";pros;Sentiment.positive
700;"This works really well.  It is small, but easy to use.  Having a base with a detachable reader really solves the portable vs. usable for a desktop design tradeoff.  The base holds it up and makes inserting cards easy, while the reader itself comes off for travel or to use with a laptop.  No power cords, either, as it is powered from the USB port.
Under Windows XP, it requires no drivers, which was an unexpected, but very nice feature.  My old reader required driver installations, which is a hassle when using it on multi";combination;Sentiment.negative
700;"This works really well.  It is small, but easy to use.  Having a base with a detachable reader really solves the portable vs. usable for a desktop design tradeoff.  The base holds it up and makes inserting cards easy, while the reader itself comes off for travel or to use with a laptop.  No power cords, either, as it is powered from the USB port.
Under Windows XP, it requires no drivers, which was an unexpected, but very nice feature.  My old reader required driver installations, which is a hassle when using it on multi";drivers;Sentiment.negative
700;"This works really well.  It is small, but easy to use.  Having a base with a detachable reader really solves the portable vs. usable for a desktop design tradeoff.  The base holds it up and makes inserting cards easy, while the reader itself comes off for travel or to use with a laptop.  No power cords, either, as it is powered from the USB port.
Under Windows XP, it requires no drivers, which was an unexpected, but very nice feature.  My old reader required driver installations, which is a hassle when using it on multi";slot;Sentiment.negative
700;"This works really well.  It is small, but easy to use.  Having a base with a detachable reader really solves the portable vs. usable for a desktop design tradeoff.  The base holds it up and makes inserting cards easy, while the reader itself comes off for travel or to use with a laptop.  No power cords, either, as it is powered from the USB port.
Under Windows XP, it requires no drivers, which was an unexpected, but very nice feature.  My old reader required driver installations, which is a hassle when using it on multi";sandisk;Sentiment.negative
700;"This works really well.  It is small, but easy to use.  Having a base with a detachable reader really solves the portable vs. usable for a desktop design tradeoff.  The base holds it up and makes inserting cards easy, while the reader itself comes off for travel or to use with a laptop.  No power cords, either, as it is powered from the USB port.
Under Windows XP, it requires no drivers, which was an unexpected, but very nice feature.  My old reader required driver installations, which is a hassle when using it on multi";cable;Sentiment.negative
700;"This works really well.  It is small, but easy to use.  Having a base with a detachable reader really solves the portable vs. usable for a desktop design tradeoff.  The base holds it up and makes inserting cards easy, while the reader itself comes off for travel or to use with a laptop.  No power cords, either, as it is powered from the USB port.
Under Windows XP, it requires no drivers, which was an unexpected, but very nice feature.  My old reader required driver installations, which is a hassle when using it on multi";plug;Sentiment.negative
701;"In my opinion this is the best memory card reader you could get. The price at Amazon is a good deal, plus with the free shipping you won't make a mistake. Here is the summary:
Pros:
1. It looks elegant. The colour combination of silver and black makes it look like a serious tool you could display even in an office environment.
2. Comes with a bonus stand to enable the display at an upright position. Saves space in a cluttered environment.
3. Comes with another USB cable to you could position it horizontally (flat) on a ";reader;Sentiment.positive
701;"In my opinion this is the best memory card reader you could get. The price at Amazon is a good deal, plus with the free shipping you won't make a mistake. Here is the summary:
Pros:
1. It looks elegant. The colour combination of silver and black makes it look like a serious tool you could display even in an office environment.
2. Comes with a bonus stand to enable the display at an upright position. Saves space in a cluttered environment.
3. Comes with another USB cable to you could position it horizontally (flat) on a ";part;Sentiment.negative
701;"In my opinion this is the best memory card reader you could get. The price at Amazon is a good deal, plus with the free shipping you won't make a mistake. Here is the summary:
Pros:
1. It looks elegant. The colour combination of silver and black makes it look like a serious tool you could display even in an office environment.
2. Comes with a bonus stand to enable the display at an upright position. Saves space in a cluttered environment.
3. Comes with another USB cable to you could position it horizontally (flat) on a ";system;Sentiment.negative
701;"In my opinion this is the best memory card reader you could get. The price at Amazon is a good deal, plus with the free shipping you won't make a mistake. Here is the summary:
Pros:
1. It looks elegant. The colour combination of silver and black makes it look like a serious tool you could display even in an office environment.
2. Comes with a bonus stand to enable the display at an upright position. Saves space in a cluttered environment.
3. Comes with another USB cable to you could position it horizontally (flat) on a ";sandisk;Sentiment.negative
702;This multi card reader is an awesome deal. The best part about this reader is the speed. I upload a 512mb Sony Memory Stick in LESS then 2 minutes. You could never do that with the older memory stick readers. With XP, the system recognized the device immediately. Had no problem and installed it in less then 5 mintues. You can get right to work with this product. Super deal and super product. SanDisk has come a long way for the better. Highly recommended.;reader;Sentiment.positive
704;I have used several different card readers.  This has been the most stable of all of those I have used.  With the USB 2.0 connection data transfers quickly.  I have used it with four different types of cards and it has worked well with all of them.;way;Sentiment.positive
704;I have used several different card readers.  This has been the most stable of all of those I have used.  With the USB 2.0 connection data transfers quickly.  I have used it with four different types of cards and it has worked well with all of them.;card;Sentiment.positive
705;This is one of the few gadgets around that works the first time you use it. Windows XP recognized its presence almost immediately. Insert a memory card, and a file pops up on your monitor. Click on it and you're in. Another way is to go into the MY COMPUTER icon and there you will see 4 removable disk icons. The hard part there is guessing where the memory card is at. I tried renaming the four drive icons, but it won't take. Just a minor inconvenience, really. With USB 2, read and write is very fast. I like the stand, b;read;Sentiment.positive
705;This is one of the few gadgets around that works the first time you use it. Windows XP recognized its presence almost immediately. Insert a memory card, and a file pops up on your monitor. Click on it and you're in. Another way is to go into the MY COMPUTER icon and there you will see 4 removable disk icons. The hard part there is guessing where the memory card is at. I tried renaming the four drive icons, but it won't take. Just a minor inconvenience, really. With USB 2, read and write is very fast. I like the stand, b;drivers;Sentiment.negative
706;"This read works wondefully.  First off, don't underestimate the importance of a USB 2.0 connection.  That alone makes it about 40 times faster than USB 1.0 and 1.1 card readers.
I have a Samsung SPH-i600 that I transfer mp3s and mpgs to.  Before it would take about 30 seconds to transfer a single 4MB song.  Now I can transfer about fifteen 4MB songs in 30 seconds.  It makes a world of difference.
Also, it is very easy to setup if you have Windows XP.  All you do is literally plug it in, wait about 30 seconds for the dri";speeds;Sentiment.positive
706;"This read works wondefully.  First off, don't underestimate the importance of a USB 2.0 connection.  That alone makes it about 40 times faster than USB 1.0 and 1.1 card readers.
I have a Samsung SPH-i600 that I transfer mp3s and mpgs to.  Before it would take about 30 seconds to transfer a single 4MB song.  Now I can transfer about fifteen 4MB songs in 30 seconds.  It makes a world of difference.
Also, it is very easy to setup if you have Windows XP.  All you do is literally plug it in, wait about 30 seconds for the dri";ports;Sentiment.negative
706;"This read works wondefully.  First off, don't underestimate the importance of a USB 2.0 connection.  That alone makes it about 40 times faster than USB 1.0 and 1.1 card readers.
I have a Samsung SPH-i600 that I transfer mp3s and mpgs to.  Before it would take about 30 seconds to transfer a single 4MB song.  Now I can transfer about fifteen 4MB songs in 30 seconds.  It makes a world of difference.
Also, it is very easy to setup if you have Windows XP.  All you do is literally plug it in, wait about 30 seconds for the dri";icon;Sentiment.positive
707;"This is definately a must have item if you take a lot of digital pictures with your camera. I like it so much that I bought one for a friend.
I currently run Windows XP.
Pros-
1. Lightening quick speeds- I am a big big fan of USB 2.0 technology. The transfer speeds are just awesome. I have a built in CF reader in my multifunction printer. It takes about 5 minutes for the transfer, while it only takes approx. 45 secs for the same transfer with this Sandisk Reader. Just make sure that your USB ports are 2.0 compatible.
2.";reader;Sentiment.positive
707;"This is definately a must have item if you take a lot of digital pictures with your camera. I like it so much that I bought one for a friend.
I currently run Windows XP.
Pros-
1. Lightening quick speeds- I am a big big fan of USB 2.0 technology. The transfer speeds are just awesome. I have a built in CF reader in my multifunction printer. It takes about 5 minutes for the transfer, while it only takes approx. 45 secs for the same transfer with this Sandisk Reader. Just make sure that your USB ports are 2.0 compatible.
2.";computer;Sentiment.positive
707;"This is definately a must have item if you take a lot of digital pictures with your camera. I like it so much that I bought one for a friend.
I currently run Windows XP.
Pros-
1. Lightening quick speeds- I am a big big fan of USB 2.0 technology. The transfer speeds are just awesome. I have a built in CF reader in my multifunction printer. It takes about 5 minutes for the transfer, while it only takes approx. 45 secs for the same transfer with this Sandisk Reader. Just make sure that your USB ports are 2.0 compatible.
2.";interface;Sentiment.positive
707;"This is definately a must have item if you take a lot of digital pictures with your camera. I like it so much that I bought one for a friend.
I currently run Windows XP.
Pros-
1. Lightening quick speeds- I am a big big fan of USB 2.0 technology. The transfer speeds are just awesome. I have a built in CF reader in my multifunction printer. It takes about 5 minutes for the transfer, while it only takes approx. 45 secs for the same transfer with this Sandisk Reader. Just make sure that your USB ports are 2.0 compatible.
2.";times;Sentiment.positive
707;"This is definately a must have item if you take a lot of digital pictures with your camera. I like it so much that I bought one for a friend.
I currently run Windows XP.
Pros-
1. Lightening quick speeds- I am a big big fan of USB 2.0 technology. The transfer speeds are just awesome. I have a built in CF reader in my multifunction printer. It takes about 5 minutes for the transfer, while it only takes approx. 45 secs for the same transfer with this Sandisk Reader. Just make sure that your USB ports are 2.0 compatible.
2.";drive;Sentiment.negative
707;"This is definately a must have item if you take a lot of digital pictures with your camera. I like it so much that I bought one for a friend.
I currently run Windows XP.
Pros-
1. Lightening quick speeds- I am a big big fan of USB 2.0 technology. The transfer speeds are just awesome. I have a built in CF reader in my multifunction printer. It takes about 5 minutes for the transfer, while it only takes approx. 45 secs for the same transfer with this Sandisk Reader. Just make sure that your USB ports are 2.0 compatible.
2.";gripe;Sentiment.negative
707;"This is definately a must have item if you take a lot of digital pictures with your camera. I like it so much that I bought one for a friend.
I currently run Windows XP.
Pros-
1. Lightening quick speeds- I am a big big fan of USB 2.0 technology. The transfer speeds are just awesome. I have a built in CF reader in my multifunction printer. It takes about 5 minutes for the transfer, while it only takes approx. 45 secs for the same transfer with this Sandisk Reader. Just make sure that your USB ports are 2.0 compatible.
2.";card;Sentiment.negative
708;"This is the second Sandisk memory card reader I've bought. (The first one was a 6-in-1 reader.) Both have worked flawlessly. Since my computer runs Windows XP, there were no drivers to install, and the computer recognized the reader instantly.
The USB 2.0 interface is a great feature, as it is much quicker than older USB 1.0 devices. I have a 512MB Compactflash card, and transfer times are very fast. In comparison, a USB 1.0 keychain flash drive I purchased is much slower.
The only minor gripe I have is that installing ";power;Sentiment.negative
